input_text,target_text
The user wants to prescribe medicine and review test results.,"Actor: user
UseCase: prescribe medicine
UseCase: review test results
Rel: user -> prescribe medicine
Rel: user -> review test results"
The librarian wants to fill out form and submit application.,"Actor: librarian
UseCase: fill out form
UseCase: submit application
Rel: librarian -> fill out form
Rel: librarian -> submit application"
The trainer wants to record attendance and send report.,"Actor: trainer
UseCase: record attendance
UseCase: send report
Rel: trainer -> record attendance
Rel: trainer -> send report"
The engineer wants to file complaint and review case.,"Actor: engineer
UseCase: file complaint
UseCase: review case
Rel: engineer -> file complaint
Rel: engineer -> review case"
The analyst wants to upload file and download resource.,"Actor: analyst
UseCase: upload file
UseCase: download resource
Rel: analyst -> upload file
Rel: analyst -> download resource"
The client wants to record attendance and send report.,"Actor: client
UseCase: record attendance
UseCase: send report
Rel: client -> record attendance
Rel: client -> send report"
The developer wants to send message and read notifications.,"Actor: developer
UseCase: send message
UseCase: read notifications
Rel: developer -> send message
Rel: developer -> read notifications"
The engineer wants to reset password and change email.,"Actor: engineer
UseCase: reset password
UseCase: change email
Rel: engineer -> reset password
Rel: engineer -> change email"
The instructor wants to setup profile and join session.,"Actor: instructor
UseCase: setup profile
UseCase: join session
Rel: instructor -> setup profile
Rel: instructor -> join session"
The client wants to enroll in course and drop course.,"Actor: client
UseCase: enroll in course
UseCase: drop course
Rel: client -> enroll in course
Rel: client -> drop course"
The moderator wants to create project and assign task.,"Actor: moderator
UseCase: create project
UseCase: assign task
Rel: moderator -> create project
Rel: moderator -> assign task"
The client wants to verify documents and approve registration.,"Actor: client
UseCase: verify documents
UseCase: approve registration
Rel: client -> verify documents
Rel: client -> approve registration"
The technician wants to schedule interview and reschedule appointment.,"Actor: technician
UseCase: schedule interview
UseCase: reschedule appointment
Rel: technician -> schedule interview
Rel: technician -> reschedule appointment"
The nurse wants to request leave and view salary slip.,"Actor: nurse
UseCase: request leave
UseCase: view salary slip
Rel: nurse -> request leave
Rel: nurse -> view salary slip"
The volunteer wants to submit assignment and check grades.,"Actor: volunteer
UseCase: submit assignment
UseCase: check grades
Rel: volunteer -> submit assignment
Rel: volunteer -> check grades"
The nurse wants to schedule interview and reschedule appointment.,"Actor: nurse
UseCase: schedule interview
UseCase: reschedule appointment
Rel: nurse -> schedule interview
Rel: nurse -> reschedule appointment"
The nurse wants to monitor system and report issue.,"Actor: nurse
UseCase: monitor system
UseCase: report issue
Rel: nurse -> monitor system
Rel: nurse -> report issue"
The agent wants to monitor system and report issue.,"Actor: agent
UseCase: monitor system
UseCase: report issue
Rel: agent -> monitor system
Rel: agent -> report issue"
The receptionist wants to request leave and view salary slip.,"Actor: receptionist
UseCase: request leave
UseCase: view salary slip
Rel: receptionist -> request leave
Rel: receptionist -> view salary slip"
The student wants to take quiz and view result.,"Actor: student
UseCase: take quiz
UseCase: view result
Rel: student -> take quiz
Rel: student -> view result"
The nurse wants to reset password and change email.,"Actor: nurse
UseCase: reset password
UseCase: change email
Rel: nurse -> reset password
Rel: nurse -> change email"
The manager wants to schedule interview and reschedule appointment.,"Actor: manager
UseCase: schedule interview
UseCase: reschedule appointment
Rel: manager -> schedule interview
Rel: manager -> reschedule appointment"
The doctor wants to submit assignment and check grades.,"Actor: doctor
UseCase: submit assignment
UseCase: check grades
Rel: doctor -> submit assignment
Rel: doctor -> check grades"
The instructor wants to monitor system and report issue.,"Actor: instructor
UseCase: monitor system
UseCase: report issue
Rel: instructor -> monitor system
Rel: instructor -> report issue"
The customer wants to issue book and collect returned books.,"Actor: customer
UseCase: issue book
UseCase: collect returned books
Rel: customer -> issue book
Rel: customer -> collect returned books"
The trainer wants to fill out form and submit application.,"Actor: trainer
UseCase: fill out form
UseCase: submit application
Rel: trainer -> fill out form
Rel: trainer -> submit application"
The librarian wants to prescribe medicine and review test results.,"Actor: librarian
UseCase: prescribe medicine
UseCase: review test results
Rel: librarian -> prescribe medicine
Rel: librarian -> review test results"
The employee wants to setup profile and join session.,"Actor: employee
UseCase: setup profile
UseCase: join session
Rel: employee -> setup profile
Rel: employee -> join session"
The instructor wants to setup profile and join session.,"Actor: instructor
UseCase: setup profile
UseCase: join session
Rel: instructor -> setup profile
Rel: instructor -> join session"
The teacher wants to monitor system and report issue.,"Actor: teacher
UseCase: monitor system
UseCase: report issue
Rel: teacher -> monitor system
Rel: teacher -> report issue"
The analyst wants to log in and update profile.,"Actor: analyst
UseCase: log in
UseCase: update profile
Rel: analyst -> log in
Rel: analyst -> update profile"
The librarian wants to file complaint and review case.,"Actor: librarian
UseCase: file complaint
UseCase: review case
Rel: librarian -> file complaint
Rel: librarian -> review case"
The doctor wants to register for classes and pay tuition.,"Actor: doctor
UseCase: register for classes
UseCase: pay tuition
Rel: doctor -> register for classes
Rel: doctor -> pay tuition"
The admin wants to setup profile and join session.,"Actor: admin
UseCase: setup profile
UseCase: join session
Rel: admin -> setup profile
Rel: admin -> join session"
The trainer wants to verify documents and approve registration.,"Actor: trainer
UseCase: verify documents
UseCase: approve registration
Rel: trainer -> verify documents
Rel: trainer -> approve registration"
The librarian wants to create account and assign roles.,"Actor: librarian
UseCase: create account
UseCase: assign roles
Rel: librarian -> create account
Rel: librarian -> assign roles"
The analyst wants to take quiz and view result.,"Actor: analyst
UseCase: take quiz
UseCase: view result
Rel: analyst -> take quiz
Rel: analyst -> view result"
The doctor wants to submit assignment and check grades.,"Actor: doctor
UseCase: submit assignment
UseCase: check grades
Rel: doctor -> submit assignment
Rel: doctor -> check grades"
The admin wants to flag content and escalate issue.,"Actor: admin
UseCase: flag content
UseCase: escalate issue
Rel: admin -> flag content
Rel: admin -> escalate issue"
The nurse wants to create project and assign task.,"Actor: nurse
UseCase: create project
UseCase: assign task
Rel: nurse -> create project
Rel: nurse -> assign task"
The trainer wants to flag content and escalate issue.,"Actor: trainer
UseCase: flag content
UseCase: escalate issue
Rel: trainer -> flag content
Rel: trainer -> escalate issue"
The engineer wants to log in and update profile.,"Actor: engineer
UseCase: log in
UseCase: update profile
Rel: engineer -> log in
Rel: engineer -> update profile"
The instructor wants to register for classes and pay tuition.,"Actor: instructor
UseCase: register for classes
UseCase: pay tuition
Rel: instructor -> register for classes
Rel: instructor -> pay tuition"
The manager wants to take quiz and view result.,"Actor: manager
UseCase: take quiz
UseCase: view result
Rel: manager -> take quiz
Rel: manager -> view result"
The analyst wants to flag content and escalate issue.,"Actor: analyst
UseCase: flag content
UseCase: escalate issue
Rel: analyst -> flag content
Rel: analyst -> escalate issue"
The admin wants to prescribe medicine and review test results.,"Actor: admin
UseCase: prescribe medicine
UseCase: review test results
Rel: admin -> prescribe medicine
Rel: admin -> review test results"
The client wants to enroll in course and drop course.,"Actor: client
UseCase: enroll in course
UseCase: drop course
Rel: client -> enroll in course
Rel: client -> drop course"
The volunteer wants to flag content and escalate issue.,"Actor: volunteer
UseCase: flag content
UseCase: escalate issue
Rel: volunteer -> flag content
Rel: volunteer -> escalate issue"
The nurse wants to register for classes and pay tuition.,"Actor: nurse
UseCase: register for classes
UseCase: pay tuition
Rel: nurse -> register for classes
Rel: nurse -> pay tuition"
The student wants to log in and update profile.,"Actor: student
UseCase: log in
UseCase: update profile
Rel: student -> log in
Rel: student -> update profile"
The engineer wants to file complaint and review case.,"Actor: engineer
UseCase: file complaint
UseCase: review case
Rel: engineer -> file complaint
Rel: engineer -> review case"
The applicant wants to send message and read notifications.,"Actor: applicant
UseCase: send message
UseCase: read notifications
Rel: applicant -> send message
Rel: applicant -> read notifications"
The volunteer wants to prescribe medicine and review test results.,"Actor: volunteer
UseCase: prescribe medicine
UseCase: review test results
Rel: volunteer -> prescribe medicine
Rel: volunteer -> review test results"
The agent wants to browse catalog and place order.,"Actor: agent
UseCase: browse catalog
UseCase: place order
Rel: agent -> browse catalog
Rel: agent -> place order"
The engineer wants to approve request and generate report.,"Actor: engineer
UseCase: approve request
UseCase: generate report
Rel: engineer -> approve request
Rel: engineer -> generate report"
The developer wants to create project and assign task.,"Actor: developer
UseCase: create project
UseCase: assign task
Rel: developer -> create project
Rel: developer -> assign task"
The developer wants to fill out form and submit application.,"Actor: developer
UseCase: fill out form
UseCase: submit application
Rel: developer -> fill out form
Rel: developer -> submit application"
The admin wants to approve request and generate report.,"Actor: admin
UseCase: approve request
UseCase: generate report
Rel: admin -> approve request
Rel: admin -> generate report"
The nurse wants to enroll in course and drop course.,"Actor: nurse
UseCase: enroll in course
UseCase: drop course
Rel: nurse -> enroll in course
Rel: nurse -> drop course"
The doctor wants to enroll in course and drop course.,"Actor: doctor
UseCase: enroll in course
UseCase: drop course
Rel: doctor -> enroll in course
Rel: doctor -> drop course"
The moderator wants to analyze data and export results.,"Actor: moderator
UseCase: analyze data
UseCase: export results
Rel: moderator -> analyze data
Rel: moderator -> export results"
The user wants to file complaint and review case.,"Actor: user
UseCase: file complaint
UseCase: review case
Rel: user -> file complaint
Rel: user -> review case"
The supervisor wants to schedule interview and reschedule appointment.,"Actor: supervisor
UseCase: schedule interview
UseCase: reschedule appointment
Rel: supervisor -> schedule interview
Rel: supervisor -> reschedule appointment"
The analyst wants to record attendance and send report.,"Actor: analyst
UseCase: record attendance
UseCase: send report
Rel: analyst -> record attendance
Rel: analyst -> send report"
The customer wants to send message and read notifications.,"Actor: customer
UseCase: send message
UseCase: read notifications
Rel: customer -> send message
Rel: customer -> read notifications"
The teacher wants to approve request and generate report.,"Actor: teacher
UseCase: approve request
UseCase: generate report
Rel: teacher -> approve request
Rel: teacher -> generate report"
The agent wants to enroll in course and drop course.,"Actor: agent
UseCase: enroll in course
UseCase: drop course
Rel: agent -> enroll in course
Rel: agent -> drop course"
The analyst wants to flag content and escalate issue.,"Actor: analyst
UseCase: flag content
UseCase: escalate issue
Rel: analyst -> flag content
Rel: analyst -> escalate issue"
The receptionist wants to start task and complete task.,"Actor: receptionist
UseCase: start task
UseCase: complete task
Rel: receptionist -> start task
Rel: receptionist -> complete task"
The developer wants to analyze data and export results.,"Actor: developer
UseCase: analyze data
UseCase: export results
Rel: developer -> analyze data
Rel: developer -> export results"
The admin wants to fill out form and submit application.,"Actor: admin
UseCase: fill out form
UseCase: submit application
Rel: admin -> fill out form
Rel: admin -> submit application"
The manager wants to create account and assign roles.,"Actor: manager
UseCase: create account
UseCase: assign roles
Rel: manager -> create account
Rel: manager -> assign roles"
The moderator wants to start task and complete task.,"Actor: moderator
UseCase: start task
UseCase: complete task
Rel: moderator -> start task
Rel: moderator -> complete task"
The moderator wants to take quiz and view result.,"Actor: moderator
UseCase: take quiz
UseCase: view result
Rel: moderator -> take quiz
Rel: moderator -> view result"
The student wants to monitor system and report issue.,"Actor: student
UseCase: monitor system
UseCase: report issue
Rel: student -> monitor system
Rel: student -> report issue"
The volunteer wants to start task and complete task.,"Actor: volunteer
UseCase: start task
UseCase: complete task
Rel: volunteer -> start task
Rel: volunteer -> complete task"
The engineer wants to upload file and download resource.,"Actor: engineer
UseCase: upload file
UseCase: download resource
Rel: engineer -> upload file
Rel: engineer -> download resource"
The agent wants to file complaint and review case.,"Actor: agent
UseCase: file complaint
UseCase: review case
Rel: agent -> file complaint
Rel: agent -> review case"
The instructor wants to reset password and change email.,"Actor: instructor
UseCase: reset password
UseCase: change email
Rel: instructor -> reset password
Rel: instructor -> change email"
The customer wants to take quiz and view result.,"Actor: customer
UseCase: take quiz
UseCase: view result
Rel: customer -> take quiz
Rel: customer -> view result"
The developer wants to upload file and download resource.,"Actor: developer
UseCase: upload file
UseCase: download resource
Rel: developer -> upload file
Rel: developer -> download resource"
The developer wants to file complaint and review case.,"Actor: developer
UseCase: file complaint
UseCase: review case
Rel: developer -> file complaint
Rel: developer -> review case"
The doctor wants to prescribe medicine and review test results.,"Actor: doctor
UseCase: prescribe medicine
UseCase: review test results
Rel: doctor -> prescribe medicine
Rel: doctor -> review test results"
The teacher wants to setup profile and join session.,"Actor: teacher
UseCase: setup profile
UseCase: join session
Rel: teacher -> setup profile
Rel: teacher -> join session"
The doctor wants to approve request and generate report.,"Actor: doctor
UseCase: approve request
UseCase: generate report
Rel: doctor -> approve request
Rel: doctor -> generate report"
The applicant wants to flag content and escalate issue.,"Actor: applicant
UseCase: flag content
UseCase: escalate issue
Rel: applicant -> flag content
Rel: applicant -> escalate issue"
The agent wants to create project and assign task.,"Actor: agent
UseCase: create project
UseCase: assign task
Rel: agent -> create project
Rel: agent -> assign task"
The officer wants to browse catalog and place order.,"Actor: officer
UseCase: browse catalog
UseCase: place order
Rel: officer -> browse catalog
Rel: officer -> place order"
The technician wants to verify documents and approve registration.,"Actor: technician
UseCase: verify documents
UseCase: approve registration
Rel: technician -> verify documents
Rel: technician -> approve registration"
The analyst wants to schedule interview and reschedule appointment.,"Actor: analyst
UseCase: schedule interview
UseCase: reschedule appointment
Rel: analyst -> schedule interview
Rel: analyst -> reschedule appointment"
The user wants to fill out form and submit application.,"Actor: user
UseCase: fill out form
UseCase: submit application
Rel: user -> fill out form
Rel: user -> submit application"
The engineer wants to schedule interview and reschedule appointment.,"Actor: engineer
UseCase: schedule interview
UseCase: reschedule appointment
Rel: engineer -> schedule interview
Rel: engineer -> reschedule appointment"
The doctor wants to create project and assign task.,"Actor: doctor
UseCase: create project
UseCase: assign task
Rel: doctor -> create project
Rel: doctor -> assign task"
The analyst wants to flag content and escalate issue.,"Actor: analyst
UseCase: flag content
UseCase: escalate issue
Rel: analyst -> flag content
Rel: analyst -> escalate issue"
The client wants to file complaint and review case.,"Actor: client
UseCase: file complaint
UseCase: review case
Rel: client -> file complaint
Rel: client -> review case"
The customer wants to log in and update profile.,"Actor: customer
UseCase: log in
UseCase: update profile
Rel: customer -> log in
Rel: customer -> update profile"
The volunteer wants to record attendance and send report.,"Actor: volunteer
UseCase: record attendance
UseCase: send report
Rel: volunteer -> record attendance
Rel: volunteer -> send report"
The engineer wants to approve request and generate report.,"Actor: engineer
UseCase: approve request
UseCase: generate report
Rel: engineer -> approve request
Rel: engineer -> generate report"
The moderator wants to schedule interview and reschedule appointment.,"Actor: moderator
UseCase: schedule interview
UseCase: reschedule appointment
Rel: moderator -> schedule interview
Rel: moderator -> reschedule appointment"
The moderator wants to send message and read notifications.,"Actor: moderator
UseCase: send message
UseCase: read notifications
Rel: moderator -> send message
Rel: moderator -> read notifications"
The employee wants to register for classes and pay tuition.,"Actor: employee
UseCase: register for classes
UseCase: pay tuition
Rel: employee -> register for classes
Rel: employee -> pay tuition"
The technician wants to file complaint and review case.,"Actor: technician
UseCase: file complaint
UseCase: review case
Rel: technician -> file complaint
Rel: technician -> review case"
The manager wants to submit assignment and check grades.,"Actor: manager
UseCase: submit assignment
UseCase: check grades
Rel: manager -> submit assignment
Rel: manager -> check grades"
The student wants to start task and complete task.,"Actor: student
UseCase: start task
UseCase: complete task
Rel: student -> start task
Rel: student -> complete task"
The admin wants to approve request and generate report.,"Actor: admin
UseCase: approve request
UseCase: generate report
Rel: admin -> approve request
Rel: admin -> generate report"
The applicant wants to start task and complete task.,"Actor: applicant
UseCase: start task
UseCase: complete task
Rel: applicant -> start task
Rel: applicant -> complete task"
The client wants to file complaint and review case.,"Actor: client
UseCase: file complaint
UseCase: review case
Rel: client -> file complaint
Rel: client -> review case"
The admin wants to create account and assign roles.,"Actor: admin
UseCase: create account
UseCase: assign roles
Rel: admin -> create account
Rel: admin -> assign roles"
The employee wants to take quiz and view result.,"Actor: employee
UseCase: take quiz
UseCase: view result
Rel: employee -> take quiz
Rel: employee -> view result"
The applicant wants to start task and complete task.,"Actor: applicant
UseCase: start task
UseCase: complete task
Rel: applicant -> start task
Rel: applicant -> complete task"
The employee wants to take quiz and view result.,"Actor: employee
UseCase: take quiz
UseCase: view result
Rel: employee -> take quiz
Rel: employee -> view result"
The instructor wants to browse catalog and place order.,"Actor: instructor
UseCase: browse catalog
UseCase: place order
Rel: instructor -> browse catalog
Rel: instructor -> place order"
The teacher wants to record attendance and send report.,"Actor: teacher
UseCase: record attendance
UseCase: send report
Rel: teacher -> record attendance
Rel: teacher -> send report"
The nurse wants to create account and assign roles.,"Actor: nurse
UseCase: create account
UseCase: assign roles
Rel: nurse -> create account
Rel: nurse -> assign roles"
The trainer wants to send message and read notifications.,"Actor: trainer
UseCase: send message
UseCase: read notifications
Rel: trainer -> send message
Rel: trainer -> read notifications"
The customer wants to schedule interview and reschedule appointment.,"Actor: customer
UseCase: schedule interview
UseCase: reschedule appointment
Rel: customer -> schedule interview
Rel: customer -> reschedule appointment"
The volunteer wants to send message and read notifications.,"Actor: volunteer
UseCase: send message
UseCase: read notifications
Rel: volunteer -> send message
Rel: volunteer -> read notifications"
The supervisor wants to take quiz and view result.,"Actor: supervisor
UseCase: take quiz
UseCase: view result
Rel: supervisor -> take quiz
Rel: supervisor -> view result"
The librarian wants to file complaint and review case.,"Actor: librarian
UseCase: file complaint
UseCase: review case
Rel: librarian -> file complaint
Rel: librarian -> review case"
The trainer wants to analyze data and export results.,"Actor: trainer
UseCase: analyze data
UseCase: export results
Rel: trainer -> analyze data
Rel: trainer -> export results"
The analyst wants to setup profile and join session.,"Actor: analyst
UseCase: setup profile
UseCase: join session
Rel: analyst -> setup profile
Rel: analyst -> join session"
The admin wants to create account and assign roles.,"Actor: admin
UseCase: create account
UseCase: assign roles
Rel: admin -> create account
Rel: admin -> assign roles"
The instructor wants to setup profile and join session.,"Actor: instructor
UseCase: setup profile
UseCase: join session
Rel: instructor -> setup profile
Rel: instructor -> join session"
The employee wants to send message and read notifications.,"Actor: employee
UseCase: send message
UseCase: read notifications
Rel: employee -> send message
Rel: employee -> read notifications"
The teacher wants to verify documents and approve registration.,"Actor: teacher
UseCase: verify documents
UseCase: approve registration
Rel: teacher -> verify documents
Rel: teacher -> approve registration"
The nurse wants to record attendance and send report.,"Actor: nurse
UseCase: record attendance
UseCase: send report
Rel: nurse -> record attendance
Rel: nurse -> send report"
The trainer wants to reset password and change email.,"Actor: trainer
UseCase: reset password
UseCase: change email
Rel: trainer -> reset password
Rel: trainer -> change email"
The librarian wants to verify documents and approve registration.,"Actor: librarian
UseCase: verify documents
UseCase: approve registration
Rel: librarian -> verify documents
Rel: librarian -> approve registration"
The instructor wants to create account and assign roles.,"Actor: instructor
UseCase: create account
UseCase: assign roles
Rel: instructor -> create account
Rel: instructor -> assign roles"
The doctor wants to fill out form and submit application.,"Actor: doctor
UseCase: fill out form
UseCase: submit application
Rel: doctor -> fill out form
Rel: doctor -> submit application"
The user wants to start task and complete task.,"Actor: user
UseCase: start task
UseCase: complete task
Rel: user -> start task
Rel: user -> complete task"
The client wants to create project and assign task.,"Actor: client
UseCase: create project
UseCase: assign task
Rel: client -> create project
Rel: client -> assign task"
The employee wants to analyze data and export results.,"Actor: employee
UseCase: analyze data
UseCase: export results
Rel: employee -> analyze data
Rel: employee -> export results"
The teacher wants to schedule interview and reschedule appointment.,"Actor: teacher
UseCase: schedule interview
UseCase: reschedule appointment
Rel: teacher -> schedule interview
Rel: teacher -> reschedule appointment"
The nurse wants to record attendance and send report.,"Actor: nurse
UseCase: record attendance
UseCase: send report
Rel: nurse -> record attendance
Rel: nurse -> send report"
The teacher wants to create project and assign task.,"Actor: teacher
UseCase: create project
UseCase: assign task
Rel: teacher -> create project
Rel: teacher -> assign task"
The doctor wants to analyze data and export results.,"Actor: doctor
UseCase: analyze data
UseCase: export results
Rel: doctor -> analyze data
Rel: doctor -> export results"
The nurse wants to verify documents and approve registration.,"Actor: nurse
UseCase: verify documents
UseCase: approve registration
Rel: nurse -> verify documents
Rel: nurse -> approve registration"
The librarian wants to record attendance and send report.,"Actor: librarian
UseCase: record attendance
UseCase: send report
Rel: librarian -> record attendance
Rel: librarian -> send report"
The customer wants to approve request and generate report.,"Actor: customer
UseCase: approve request
UseCase: generate report
Rel: customer -> approve request
Rel: customer -> generate report"
The instructor wants to flag content and escalate issue.,"Actor: instructor
UseCase: flag content
UseCase: escalate issue
Rel: instructor -> flag content
Rel: instructor -> escalate issue"
The nurse wants to issue book and collect returned books.,"Actor: nurse
UseCase: issue book
UseCase: collect returned books
Rel: nurse -> issue book
Rel: nurse -> collect returned books"
The volunteer wants to create account and assign roles.,"Actor: volunteer
UseCase: create account
UseCase: assign roles
Rel: volunteer -> create account
Rel: volunteer -> assign roles"
The doctor wants to log in and update profile.,"Actor: doctor
UseCase: log in
UseCase: update profile
Rel: doctor -> log in
Rel: doctor -> update profile"
The nurse wants to approve request and generate report.,"Actor: nurse
UseCase: approve request
UseCase: generate report
Rel: nurse -> approve request
Rel: nurse -> generate report"
The customer wants to browse catalog and place order.,"Actor: customer
UseCase: browse catalog
UseCase: place order
Rel: customer -> browse catalog
Rel: customer -> place order"
The customer wants to create project and assign task.,"Actor: customer
UseCase: create project
UseCase: assign task
Rel: customer -> create project
Rel: customer -> assign task"
The nurse wants to send message and read notifications.,"Actor: nurse
UseCase: send message
UseCase: read notifications
Rel: nurse -> send message
Rel: nurse -> read notifications"
The analyst wants to analyze data and export results.,"Actor: analyst
UseCase: analyze data
UseCase: export results
Rel: analyst -> analyze data
Rel: analyst -> export results"
The agent wants to verify documents and approve registration.,"Actor: agent
UseCase: verify documents
UseCase: approve registration
Rel: agent -> verify documents
Rel: agent -> approve registration"
The volunteer wants to upload file and download resource.,"Actor: volunteer
UseCase: upload file
UseCase: download resource
Rel: volunteer -> upload file
Rel: volunteer -> download resource"
The doctor wants to enroll in course and drop course.,"Actor: doctor
UseCase: enroll in course
UseCase: drop course
Rel: doctor -> enroll in course
Rel: doctor -> drop course"
The student wants to verify documents and approve registration.,"Actor: student
UseCase: verify documents
UseCase: approve registration
Rel: student -> verify documents
Rel: student -> approve registration"
The volunteer wants to approve request and generate report.,"Actor: volunteer
UseCase: approve request
UseCase: generate report
Rel: volunteer -> approve request
Rel: volunteer -> generate report"
The officer wants to verify documents and approve registration.,"Actor: officer
UseCase: verify documents
UseCase: approve registration
Rel: officer -> verify documents
Rel: officer -> approve registration"
The employee wants to register for classes and pay tuition.,"Actor: employee
UseCase: register for classes
UseCase: pay tuition
Rel: employee -> register for classes
Rel: employee -> pay tuition"
The teacher wants to schedule interview and reschedule appointment.,"Actor: teacher
UseCase: schedule interview
UseCase: reschedule appointment
Rel: teacher -> schedule interview
Rel: teacher -> reschedule appointment"
The developer wants to approve request and generate report.,"Actor: developer
UseCase: approve request
UseCase: generate report
Rel: developer -> approve request
Rel: developer -> generate report"
